,raw_comment,cleaned,emotion,score,emoji
210,So can we stop romanticized choosing a guy just bc she liked him first when she was a kid. This is showing Belly and Jere in a relationship where they really understand each other. I don&#39;t get people who like Conrad and Belly together. What do they have in common? What is even Conrad&#39;s personality other than &quot;brooding and unobtainable and terrible communicator&quot;?,so can we stop romanticized choosing a guy just bc she liked him first when she was a kid this is showing belly and jere in a relationship where they really understand each other i don39t get people who like conrad and belly together what do they have in common what is even conrad39s personality other than quotbrooding and unobtainable and terrible communicatorquot,confusion,0.425,
211,Team Jeremiah forever <br>Conrad is a poison you can see it even in the trailer,team jeremiah forever brconrad is a poison you can see it even in the trailer,neutral,0.932,
212,YES TEAM CONRADDDDD !!❤,yes team conraddddd,neutral,0.806,
213,In the end she choose &quot;Conrad&quot; ❤,in the end she choose quotconradquot,neutral,0.956,
214,Ill go insane is Jeremiah is hurt,ill go insane is jeremiah is hurt,sadness,0.855,😢
215,"I love how everybody is flabbergasted just by the songs they&#39;ve chosen 😭 It&#39;s all gonna go down I can feel it but at the same time it&#39;s gonna be bittersweet ❤️‍🩹 I will never get over <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=46"">0:46</a> GOSHH",i love how everybody is flabbergasted just by the songs they39ve chosen  it39s all gonna go down i can feel it but at the same time it39s gonna be bittersweet  i will never get over a href goshh,love,0.968,❤️
216,"if it ended with belly and jer, this season wouldnt exist!! (im just saying:D)",if it ended with belly and jer this season wouldnt exist im just sayingd,neutral,0.727,
217,Daylight suits Jeremiah so much. I just love Jer a lot❤,daylight suits jeremiah so much i just love jer a lot,love,0.958,❤️
218,"istg if this time she goes to Con, i am done. I AM DONE.",istg if this time she goes to con i am done i am done,neutral,0.861,
219,&quot;hey&quot; DAN YAP,quotheyquot dan yap,neutral,0.968,
220,Team CONRAD&gt;&gt;,team conradgtgt,neutral,0.967,
221,THE SONG CHOICES OMG YES,the song choices omg yes,neutral,0.347,
222,TEAM CONRAD LET’S FREAKING GOOOO THIS IS OUR SEASON 🤭,team conrad lets freaking goooo this is our season,neutral,0.337,
223,I am not even a fan of Taylor Swift and I have not and probably will never watch this show but man this trailer made me feel something 😅,i am not even a fan of taylor swift and i have not and probably will never watch this show but man this trailer made me feel something,disapproval,0.38,
224,"I want to express this sincerely: if Jere ends up cheating like he did in the book, it would be really heartbreaking for me. I can handle a breakup, but I genuinely hope it doesn’t come to that kind of betrayal. That sweet boy deserves better, and so do we.",i want to express this sincerely if jere ends up cheating like he did in the book it would be really heartbreaking for me i can handle a breakup but i genuinely hope it doesnt come to that kind of betrayal that sweet boy deserves better and so do we,sadness,0.561,😢
225,The songs everything omg😭. I had watch the trailer so many times. I just love it.. ❤so excited.,the songs everything omg i had watch the trailer so many times i just love it so excited,love,0.653,❤️
226,The &quot;hey&quot; with the switch between daylight and red is just CHEFS KISSS<br>This whole show is just a Taylor Swif song.,the quotheyquot with the switch between daylight and red is just chefs kisssbrthis whole show is just a taylor swif song,neutral,0.93,
227,Ik just the &#39;hey&#39; was enough for team Conrad to rise!!!! <br>All the team Conrad like&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;❤❤❤,ik just the 39hey39 was enough for team conrad to rise brall the team conrad likegtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgtgt,neutral,0.964,
228,يايييي,يايييي,neutral,0.962,
229,ugh no i just want belly and jer to end up together no conrad please,ugh no i just want belly and jer to end up together no conrad please,neutral,0.365,
230,"idk, Belly and Jere look so freaking happy and pretty, but i know she&#39;ll end up with Connie. Breaks my heart. I am always so annoyed with Belly being so indecisive and playing with the boys like toys.",idk belly and jere look so freaking happy and pretty but i know she39ll end up with connie breaks my heart i am always so annoyed with belly being so indecisive and playing with the boys like toys,joy,0.346,😊
231,oh the soundtrack is about to HITTT,oh the soundtrack is about to hittt,neutral,0.651,
232,Please the end should be belly and conrad for god sake😭🥀,please the end should be belly and conrad for god sake,neutral,0.879,
233,if you&#39;ve seen both brothers peens there&#39;s no way you could ever have a normal long lasting relationship with one. its so wrong I love it.,if you39ve seen both brothers peens there39s no way you could ever have a normal long lasting relationship with one its so wrong i love it,disapproval,0.672,
234,I CAN’T WAIT FOR SEASON 3😮,i cant wait for season 3,excitement,0.523,
235,TEAM JEREMIAH ❤❤❤,team jeremiah,neutral,0.956,
236,Hey ! It&#39;s enough 🥹❤️,hey  it39s enough,neutral,0.883,
237,"<a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=8"">0:08</a> LOLA LOOKS GORGEOUS",a href lola looks gorgeous,admiration,0.935,
238,IF BELLY ENDS UP W CONRAD IM CANCELING MY PRIME SUBSCRIPTION,if belly ends up w conrad im canceling my prime subscription,neutral,0.601,
239,"This teaser is sending me in ways I didn&#39;t think were possible, and I am addicted. BONRAD for life",this teaser is sending me in ways i didn39t think were possible and i am addicted bonrad for life,excitement,0.317,
240,loving him was Red 😂,loving him was red,love,0.919,❤️
241,Team Conrad❤❤❤,team conrad,neutral,0.967,
242,"Oh look, another reason Asians believe every white guy they meet is gonna be like the ones on tv 🙄",oh look another reason asians believe every white guy they meet is gonna be like the ones on tv,neutral,0.741,
243,OMG IM SO EXITED ❤,omg im so exited,excitement,0.61,
244,Please be with Jeremiah🥺,please be with jeremiah,neutral,0.942,
245,i cant waitittitit,i cant waitittitit,neutral,0.591,
246,Wait why was her lip like that I’m confused,wait why was her lip like that im confused,confusion,0.939,
247,Omgomgomg,omgomgomg,neutral,0.969,
248,OH YEAH!,oh yeah,approval,0.33,
249,"Engineer: Turning a Blind Eye to Evildoers Is Being Complicit<br>Engineer Peter Johnston said, “I hope these organ traffickers can realize what they are doing. This is a terrible thing. People should have a conscience, be kind and be sober.” He said he hopes the Australian government will stand up against this organ trafficking. He remarked that those in power will be accomplices if they turn a blind eye to the evildoers.<br><br>Will Dobbs, who works in the government, said, “Organ transplantation is a scientific advance for humanity and it should be voluntary. But I understand that in some countries, organs are taken from people who do not consent and these people may be killed for this. I think this is a terrible thing. As Australians we have freedom of speech and should do everything we can to support those who do not have the right in other countries to protest.”<br><br>Dobbs added that the Australian government must take a clear position on platforms such as the United Nations and in external dialogues that we oppose organ trafficking. Australians who go overseas for organ transplants must know the source of their organs and provide transparency.<br><br>The Australian Government Should Speak Out Against Forced Organ Harvesting<br>Mick Broddrick was a manager of a construction company before he retired. He said that the CCP’s live organ harvesting was a despicable act and that humanity should not fall into this situation.<br><br>“Australians do go overseas for organ transplants. They should be informed that forced organ harvesting is happening today, and they should know in advance whether the transplant they are about to receive is legal,” he said.<br><br>He added that the Australian government should speak out and state its point of view on those countries that allow illegal organ transplants.",engineer turning a blind eye to evildoers is being complicitbrengineer peter johnston said i hope these organ traffickers can realize what they are doing this is a terrible thing people should have a conscience be kind and be sober he said he hopes the australian government will stand up against this organ trafficking he remarked that those in power will be accomplices if they turn a blind eye to the evildoersbrbrwill dobbs who works in the government said organ transplantation is a scientific advance for humanity and it should be voluntary but i understand that in some countries organs are taken from people who do not consent and these people may be killed for this i think this is a terrible thing as australians we have freedom of speech and should do everything we can to support those who do not have the right in other countries to protestbrbrdobbs added that the australian government must take a clear position on platforms such as the united nations and in external dialogues that we oppose organ trafficking australians who go overseas for organ transplants must know the source of their organs and provide transparencybrbrthe australian government should speak out against forced organ harvestingbrmick broddrick was a manager of a construction company before he retired he said that the ccps live organ harvesting was a despicable act and that humanity should not fall into this situationbrbraustralians do go overseas for organ transplants they should be informed that forced organ harvesting is happening today and they should know in advance whether the transplant they are about to receive is legal he saidbrbrhe added that the australian government should speak out and state its point of view on those countries that allow illegal organ transplants,neutral,0.415,
250,I&#39;m being conrad in my life nobody wants me,i39m being conrad in my life nobody wants me,sadness,0.692,😢
251,Can&#39;t waaait🤩🤩🤩,can39t waaait,neutral,0.968,
252,OMG I LOVED THE BOOKS AND THE SONG SELECTION FOR THIS IM SO FREAKING EXCITED OMGGGGG!!!!!,omg i loved the books and the song selection for this im so freaking excited omggggg,excitement,0.587,
253,dude i better not see the cycle continuing okay she did like conrad and“was her first love” it was always making her second guess and sad and always cry then he expected her to understand,dude i better not see the cycle continuing okay she did like conrad andwas her first love it was always making her second guess and sad and always cry then he expected her to understand,sadness,0.618,😢
254,I WILL FOREVER BE TEAM JELLYFISH💓💓💓👫,i will forever be team jellyfish,neutral,0.739,
255,taylorrrrrrrrrrrrrrrrr you slayyyed again queennnnnn,taylorrrrrrrrrrrrrrrrr you slayyyed again queennnnnn,neutral,0.81,
256,Chat~ How are we feeling are we freaking out talk to me¿??? We all saw our Connie baby right,chat how are we feeling are we freaking out talk to me we all saw our connie baby right,neutral,0.433,
257,BONRAD FANS IT&#39;S OUR SZN!!,bonrad fans it39s our szn,neutral,0.968,
258,jeremiah and belly is everything,jeremiah and belly is everything,neutral,0.967,
259,"I&#39;m a fan of this show, but would brothers ever beef this deep over a gyal...I can&#39;t understand it....",i39m a fan of this show but would brothers ever beef this deep over a gyali can39t understand it,love,0.368,❤️
260,Why is the last season ?,why is the last season,curiosity,0.448,
261,I CAN’T WAIT! I kept coming back to the teaser😭😭,i cant wait i kept coming back to the teaser,excitement,0.578,
262,Not it coming the DAY AFTER my birthday 😂,not it coming the day after my birthday,neutral,0.572,
263,TEAM CONRAD FOREVER AND ALWAYS,team conrad forever and always,neutral,0.947,
264,Last summer already?,last summer already,neutral,0.785,
265,JERE DON&#39;T DESERVED DAYLIGHT SORRY!,jere don39t deserved daylight sorry,remorse,0.783,
266,THE TRANSITION DAMN,the transition damn,neutral,0.953,
